"","siteID","year","season","total_count_per_100_trapnight","richness","domain_id","site_name","site_type","latitude","longitude","mean_elevation_m","minimum_elevation_m","maximum_elevation_m","mean_annual_temperature_C","mean_annual_precipitation_mm","dominant_wind_direction","mean_canopy_height_m","dominant_nlcd_classes","domint_plant_species","usgs_geology_unit","megapit_soil_family","soil_subgroup","avg_number_of_green_days","avg_green_max_doy"
"1","ABBY","2016","summer",7.59027777777778,4,"D16","Abby Road NEON","Relocatable Terrestrial",45.762439,-122.33032,365,NA,708,10,2451,"","34m (in surrounding non-logged area)","Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub","Gaultheria shallon (salal)|Pseudotsuga menziesii (douglas fir)|Pteridium aquilinum (bracken fern)","WAEOv1b;0","","Andic Humudepts",190,"165"
"2","ABBY","2017","spring",22.8384645877378,10,"D16","Abby Road NEON","Relocatable Terrestrial",45.762439,-122.33032,365,NA,708,10,2451,"","34m (in surrounding non-logged area)","Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub","Gaultheria shallon (salal)|Pseudotsuga menziesii (douglas fir)|Pteridium aquilinum (bracken fern)","WAEOv1b;0","","Andic Humudepts",190,"165"
"3","ABBY","2017","summer",32.2834863993742,13,"D16","Abby Road NEON","Relocatable Terrestrial",45.762439,-122.33032,365,NA,708,10,2451,"","34m (in surrounding non-logged area)","Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub","Gaultheria shallon (salal)|Pseudotsuga menziesii (douglas fir)|Pteridium aquilinum (bracken fern)","WAEOv1b;0","","Andic Humudepts",190,"165"
"4","ABBY","2018","spring",17.7962871287129,9,"D16","Abby Road NEON","Relocatable Terrestrial",45.762439,-122.33032,365,NA,708,10,2451,"","34m (in surrounding non-logged area)","Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub","Gaultheria shallon (salal)|Pseudotsuga menziesii (douglas fir)|Pteridium aquilinum (bracken fern)","WAEOv1b;0","","Andic Humudepts",190,"165"
"5","ABBY","2018","summer",20.6702242202242,13,"D16","Abby Road NEON","Relocatable Terrestrial",45.762439,-122.33032,365,NA,708,10,2451,"","34m (in surrounding non-logged area)","Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub","Gaultheria shallon (salal)|Pseudotsuga menziesii (douglas fir)|Pteridium aquilinum (bracken fern)","WAEOv1b;0","","Andic Humudepts",190,"165"
"6","ABBY","2019","spring",16.6944444444444,9,"D16","Abby Road NEON","Relocatable Terrestrial",45.762439,-122.33032,365,NA,708,10,2451,"","34m (in surrounding non-logged area)","Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub","Gaultheria shallon (salal)|Pseudotsuga menziesii (douglas fir)|Pteridium aquilinum (bracken fern)","WAEOv1b;0","","Andic Humudepts",190,"165"
"7","ABBY","2019","summer",22.415230194642,12,"D16","Abby Road NEON","Relocatable Terrestrial",45.762439,-122.33032,365,NA,708,10,2451,"","34m (in surrounding non-logged area)","Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub","Gaultheria shallon (salal)|Pseudotsuga menziesii (douglas fir)|Pteridium aquilinum (bracken fern)","WAEOv1b;0","","Andic Humudepts",190,"165"
"8","BARR","2017","summer",1,1,"D18","Utqiaġvik NEON","Relocatable Terrestrial",71.28241,-156.61936,4,0,13,-12,105,"E","0.3","Emergent Herbaceous Wetlands","Carex aquatilis (water sedge)|Dupontia fisheri (Fisher's tundragrass)|Petasites frigidus (Arctic sweet coltsfoot)","A003.BW002_114","","Typic Histoturbels",45,"195"
"9","BARR","2018","spring",1,1,"D18","Utqiaġvik NEON","Relocatable Terrestrial",71.28241,-156.61936,4,0,13,-12,105,"E","0.3","Emergent Herbaceous Wetlands","Carex aquatilis (water sedge)|Dupontia fisheri (Fisher's tundragrass)|Petasites frigidus (Arctic sweet coltsfoot)","A003.BW002_114","","Typic Histoturbels",45,"195"
"10","BARR","2018","summer",1,1,"D18","Utqiaġvik NEON","Relocatable Terrestrial",71.28241,-156.61936,4,0,13,-12,105,"E","0.3","Emergent Herbaceous Wetlands","Carex aquatilis (water sedge)|Dupontia fisheri (Fisher's tundragrass)|Petasites frigidus (Arctic sweet coltsfoot)","A003.BW002_114","","Typic Histoturbels",45,"195"
